No	Investor	Tokens	TokenSubtotal
235	0xe26758a5c9f304689cef289acaa21d352f64eb62	4000	17923324.135154652948171
236	0xa102dc96bd301ab973844d2ee262400e428ce6d5	5000	17928324.135154652948171
237	0xfd6eeeb24a2010e73ae109ccdd7ffd784840b3bd	3000	17931324.135154652948171
238	0x91d43e0aa8d5d6361ef2ba8839b848163b32a3a5	10000	17941324.135154652948171
239	0xdaf99f1e196245c364cde16cabae8bebbe24476b	900000	18841324.135154652948171
240	0xca4ad3d429ea5130512b0ebb7fa4a7fa6d1a0e41	5000	18846324.135154652948171
241	0x00225e841e3e0ce3c3c61ae935e58b0659c6fce6	48000	18894324.135154652948171
242	0xf1ad946ae30a285d96ea396acd3fd22c5aa75ef8	9000	18903324.135154652948171
243	0x8a9bcdc68d19e111663d6c986caf1da1eda1c304	2000	18905324.135154652948171
244	0xee27f0aa4a393061f20e655a27a826379a78f162	4990	18910314.135154652948171
245	0x23d6d0065ec747636b3ff817e026a2595c9e4f7e	35350	18945664.135154652948171
246	0xbfa362cf5ba6265f71b426a6704f30ce52387d8b	950	18946614.135154652948171
247	0x11c919c709ca16911ffcc161064077803aa256d4	1120.786972	18947734.922126652948171
248	0x15a3d17ab49c02077bbfd60026dbe63cc9640dd8	24000	18971734.922126652948171
249	0x9fe1d32e40874e6ab17ce8341c72b6c0d8bf6329	23000	18994734.922126652948171
250	0x138dd537d56f2f2761a6fc0a2a0ace67d55480fe	12000	19006734.922126652948171
251	0xc2849551e288c1a5ccd812543cbb042efc38f5d5	5000	19011734.922126652948171
252	0x00e8bf3d5a099ca807ec507ab48c307e5aa09a53	8000	19019734.922126652948171
253	0x9264acf177749cf61f790bbfe0933f4ebcfdd3c7	9980	19029714.922126652948171
254	0x7b74e71a53f011c7af477f3bfab0b71250ce8d48	3000	19032714.922126652948171
255	0xd929ad1e45b7963bf98bb25bcbd3e6db858e9f45	1500	19034214.922126652948171
256	0x0987ee85897f2afe6b74b82ed1f126b799227e8c	10000	19044214.922126652948171
257	0x5d0f6116fccad7c110fb6244cb27a16ce1f73fdf	10000	19054214.922126652948171
258	0x478220fb5ad849463c36feed2a40ec69bfed536c	1700	19055914.922126652948171
259	0x1803ab3d993447530329d6a2545909d15463e89a	6840	19062754.922126652948171
260	0xff48f16d7de2e7709a347752ee38cb55e7e4ade8	24000	19086754.922126652948171
261	0x708b6b354fb7e8a2beab12fb391cfbe6a6a83085	2600	19089354.922126652948171
262	0xce1c63f5b21f4e3f9d00b36d6673cf708dac08e5	12000	19101354.922126652948171
263	0xf5866a53c314f5a111b7787a914f9f8bbf9dde22	3000	19104354.922126652948171
264	0xa79620db12c2e79487f116745238dedb1143cd9c	21000	19125354.922126652948171
265	0x2711cc8d6fc8a12b4203a5e9dcb778f2d673e2b0	12000	19137354.922126652948171
